L,kappa,lambda,eps_2,eps,acceptance_rate,delta_H_abs_mean,delta_H_abs_std,N_steps,N_trajectories,batch_size,seed
8,0.85,1.0,0.000659064922004935,0.02567225977597093,0.9993999600410461,0.0014113637481633619,0.001110631075271948,39,100,100,22248
8,0.85,1.0,0.0009654893846056303,0.031072325059538598,0.9990999698638916,0.002097188707969335,0.0016570164246451071,32,100,100,63286
8,0.85,1.0,0.0014143822871810778,0.03760827418509227,0.9979999661445618,0.0030621758289903185,0.0024084973147300427,27,100,100,80656
8,0.85,1.0,0.002071982650652037,0.04551903613491873,0.9980999827384949,0.004414332086503615,0.0034976096137047203,22,100,100,38848
8,0.85,1.0,0.0030353265475060406,0.05509379772266603,0.9975000023841858,0.006584368852577359,0.00515256550875868,18,100,100,34321
8,0.85,1.0,0.004446565827708846,0.06668257514305252,0.995199978351593,0.009398847494396814,0.007474925418607506,15,100,100,27870
8,0.85,1.0,0.006513944167356084,0.08070900920811805,0.9932000041007996,0.014612682275106037,0.011392486315537069,12,100,100,95154
8,0.85,1.0,0.009542525683758019,0.0976858520142913,0.9902999997138977,0.0206540687160708,0.016407067431075287,10,100,100,75712
8,0.85,1.0,0.013979210457700486,0.11823371117283127,0.9842999577522278,0.030240933693855266,0.02438397850100372,8,100,100,14497
8,0.85,1.0,0.020478679491876803,0.14310373682010125,0.9781999588012695,0.04535415695740895,0.03521786793646196,7,100,100,88354
8,0.85,1.0,0.03,0.17320508075688773,0.9684000015258789,0.06650620721524136,0.05264971644773422,6,100,100,93253
8,0.85,1.0,0.04947368421052632,0.22242680641174148,0.9243999719619751,0.15428835052428352,0.12617282168861374,4,100,100,33993
8,0.85,1.0,0.06894736842105263,0.26257830912139835,0.8220999836921692,0.36343648870203055,0.3110765515731238,4,100,100,59403
8,0.85,1.0,0.08842105263157896,0.29735677667001126,0.6624000072479248,0.772417742437542,0.6653315027463489,3,100,100,51823
8,0.85,1.0,0.10789473684210528,0.3284733426658932,0.4357999861240387,1.703047130116063,1.405380552551708,3,100,100,52386
8,0.85,1.0,0.12736842105263158,0.35688712648767756,0.23070000112056732,3.540363813670038,2.6373466945250055,3,100,100,35472
8,0.85,1.0,0.14684210526315788,0.38319982419510307,0.08449999988079071,7.212538316346714,4.706629603440347,3,100,100,89693
8,0.85,1.0,0.16631578947368422,0.4078183290065372,0.07329999655485153,7.714946360662808,4.835123255272115,2,100,100,84965
8,0.85,1.0,0.18578947368421053,0.4310330308505492,0.029500000178813934,14.263625787854224,9.043553145192297,2,100,100,43755
8,0.85,1.0,0.20526315789473684,0.45305977298225986,0.01119999960064888,23.744670959469317,15.756228730371221,2,100,100,30649
8,0.85,1.0,0.22473684210526315,0.4740641750915831,0.004999999888241291,31.293229769722757,21.770949556853182,2,100,100,92832
8,0.85,1.0,0.2442105263157895,0.4941766144970738,0.0023999998811632395,43.07815994837681,31.894280635455733,2,100,100,6948
8,0.85,1.0,0.26368421052631574,0.513501908980206,0.0004999999655410647,55.20750632088796,63.352556031509955,2,100,100,37925
8,0.85,1.0,0.28315789473684216,0.5321258260382051,0.0005999999702908099,76.59853041803784,149.18626244557984,2,100,100,70035
8,0.85,1.0,0.3026315789473685,0.5501196042201809,0.00029999998514540493,323.3508684216549,10665.668734251178,2,100,100,42381
8,0.85,1.0,0.32210526315789473,0.5675431817561504,0.0,593.1434802448626,15775.488893264332,2,100,100,48881
8,0.85,1.0,0.3415789473684211,0.5844475574150525,0.00019999999494757503,1753.379115201514,26662.690431819163,2,100,100,20153
8,0.85,1.0,0.3610526315789474,0.6008765526952665,0.00039999998989515007,2839.376508427436,39031.11699457548,2,100,100,84449
8,0.85,1.0,0.3805263157894737,0.616868151057804,0.0,102835.14591782572,9595183.65801052,2,100,100,61450
